Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_doordash_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_doordash_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_apple_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_apple_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_samsara_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_samsara_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_yelp_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_yelp_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_match_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_match_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_i2c_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_i2c_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_adobe_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_adobe_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_amazon_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_amazon_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_rowan_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_rowan_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_google_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_google_ux_Score
3135,0.74686086,0.87343043,0.69317955,0.8465898,0.7024298,0.8512149,0.6302469,0.81512344,0.6847644,0.8423822,0.6795726,0.8397863,0.5997486,0.7998743,0.67925656,0.8396283,0.62643534,0.81321764,0.6293235,0.81466174
3136,0.6805247,0.84026235,0.73987615,0.8699381,0.6705697,0.8352848,0.6170733,0.80853665,0.668669,0.8343345,0.63758296,0.8187915,0.65396106,0.82698053,0.7189698,0.8594849,0.6932559,0.84662795,0.67119026,0.83559513
3137,0.7367335,0.8683667,0.6988385,0.84941924,0.67723715,0.8386186,0.6132925,0.8066462,0.6581677,0.82908386,0.6295433,0.81477165,0.585786,0.792893,0.6873177,0.84365886,0.62852436,0.81426215,0.64522636,0.8226132
3138,0.5967934,0.7983967,0.5912696,0.7956348,0.6016847,0.80084234,0.5698048,0.7849024,0.53504735,0.76752365,0.55542,0.77770996,0.49047202,0.74523604,0.5589287,0.77946436,0.55008054,0.77504027,0.5326984,0.7663492
3139,0.7323916,0.8661958,0.6600363,0.83001816,0.7076771,0.85383856,0.6387768,0.8193884,0.6443887,0.82219434,0.6672677,0.83363384,0.56302047,0.78151023,0.6990331,0.8495165,0.66141665,0.8307083,0.661868,0.830934
3140,0.7625768,0.8812884,0.66841465,0.8342073,0.6787065,0.83935326,0.61620605,0.808103,0.6800773,0.84003866,0.74373984,0.8718699,0.66037714,0.8301886,0.71617866,0.8580893,0.6574952,0.82874763,0.7130442,0.8565221
3141,0.69744754,0.84872377,0.7055962,0.8527981,0.6803719,0.84018594,0.586462,0.793231,0.687881,0.8439405,0.64766574,0.82383287,0.61671054,0.8083553,0.6756283,0.83781415,0.6228075,0.81140375,0.64302826,0.8215141
3142,0.7453402,0.8726701,0.647422,0.82371104,0.69282424,0.8464121,0.5959396,0.7979698,0.6816269,0.84081346,0.70807385,0.8540369,0.5886121,0.79430604,0.6941136,0.8470568,0.63634396,0.818172,0.67912567,0.83956283
3143,0.7196524,0.8598262,0.666114,0.833057,0.670464,0.835232,0.5931368,0.7965684,0.66782355,0.8339118,0.6681646,0.8340823,0.6272766,0.8136383,0.69036347,0.8451817,0.6460924,0.8230462,0.65838325,0.8291916
3144,0.65095806,0.82547903,0.6162095,0.80810475,0.6541617,0.82708085,0.54745156,0.77372575,0.6130394,0.8065197,0.6223626,0.8111813,0.53596187,0.76798093,0.6576007,0.8288003,0.58015394,0.790077,0.56326973,0.78163487
3145,0.6447691,0.82238454,0.6227631,0.8113816,0.58668643,0.7933432,0.5574931,0.77874655,0.62519765,0.8125988,0.6187682,0.8093841,0.61507344,0.8075367,0.60973,0.804865,0.62126905,0.8106345,0.6125487,0.80627435
3146,0.5583124,0.7791562,0.5755027,0.7877513,0.5900656,0.7950328,0.48877445,0.7443872,0.54233325,0.7711666,0.55258745,0.77629375,0.5450157,0.77250785,0.56524765,0.7826238,0.56017077,0.7800854,0.52693355,0.7634668
3147,0.6771345,0.83856726,0.65365547,0.82682776,0.61633563,0.8081678,0.65820944,0.8291047,0.6236605,0.8118303,0.65940213,0.82970107,0.63929915,0.8196496,0.69567907,0.84783953,0.678831,0.8394155,0.6785903,0.83929515
3148,0.7080643,0.85403216,0.6873176,0.8436588,0.6896943,0.84484714,0.6221459,0.81107295,0.6953565,0.84767824,0.7023723,0.85118616,0.6885567,0.84427834,0.7222603,0.8611301,0.6831518,0.84157586,0.72444844,0.8622242
